hospital,address,phone,city,pincode,,,
KUNAL MEDICAL HOSPITAL,"C/101, SHREEPAL COMMERCIAL CENTRE HATKESHWAR CIRCLE, KHOKARA",,AHMEDABAD,,,,
LADYCARE WOMENS HOSPITAL AND CHILD CARE,"2ND FLOOR, B SWAMINARAYAN AVENUE, 132 RING ROAD, NEAR AEC CROSS ROAD,",,AHMEDABAD,,,,
LAKHANI HOSPITAL,RAILWAY STATION ROAD,,JUNAGADH,,,,
LAXMI HOSPITAL AND DIAGNOSTIC CENTRE,"1ST AND 2ND FLOOR, SAMARPAN COMPLEX, AMBALI BOPAL RING ROAD, CHAR RASTA, AMBALI",,AHMEDABAD,,,,
MAA HOSPITAL,"A/8-9, SHREE HARI TOWNSHIP, SAYAJI PARK, AJWA ROAD, NEAR KAMALA NAGAR",,VADODARA,,,,
MAA MATERNITY HOME,"NAGARSHETH CHAMBERS, NEAR GUNJAN CINEMA, GIDC",,VALSAD,,,,
MAHARSHI SURGICAL HOSPITAL,"2ND FLOOR, BODYCARE MEDICAL CENTRE, OPP. JUNA WADAJ BUS STAND, ASHRAM ROAD, JUNA WADAJ, AHMEDABAD.",,AHMEDABAD,,,,
MAHESHWARI ORTHOPAEDIC HOSPITAL,"PANCHMUKHI SHOPPING CENTRE, BESIDE AMBER CINEMA",,JAMNAGAR,,,,
MANISH EYE HOSPITAL,"A-3 AND 4, SUSMITA FLATS, OPP. VASNA BUS STOP, NR. MEHTA RESTAURANT, VASNA",,AHMEDABAD,,,,
MANJALPUR HOSPITAL PVT LTD,"1ST FLOOR, ABHISHEK HOUSE, OPP TULSIDHAM APTT, MANJALPUR",,VADODARA,,,,
MANSAROVAR HOSPITAL AND POLYCLINIC,"KHETESWAR BHAWAN, NEAR VITTHAL BHAVAN, USMANPURA",,AHMEDABAD,,,,
MANSI HOSPITAL,"AKHBARNAGAR CIRCLE, NEW WADAJ",,AHMEDABAD,,,,
MARUTI ORTHOPAEDIC HOSPITAL,"L-10, 11 SWATANTRAY SENANI NAGAR, NEAR AKHABAR NAGAR, UNDER BRIDGE, 132 EAST RING ROAD, NAVA VADAJ",,AHMEDABAD,,,,
MATESHREE E.N.T HOSPITAL,"C/15-16, CAPITAL BUSINESS CENTER, OPP. CENTRAL BANK OF INDIA, PANCHBATTI",,BHARUCH,,,,
MATRU HOSPITAL,"198/1272 GHB OPP AMBAJIDHAM MANDIR, HARDASNAGAR, BAPUNAGAR",,AHMEDABAD,,,,
MEHTA NURSING HOME,"DR S K MEHTA C-10, SHRINATHJI KRUPA SOC, NEAR ARUNACHAL, SUBHANPURA, ARUNACHAL ROAD",,VADODARA,,,,
MERU NURSING HOME,"75-B, VIDHYA NAGAR, CHITTRANJAN CHOWK",,BHAVNAGAR,,,,
METALIA HOSPITAL AND ICCU,"9/99, VALLABH FLAT, NR DIAMOND MARKET AND DHANVANTARI HOSPITAL, BAPUNAGAR",,AHMEDABAD,,,,
METAS OF SEVENTH DAY-ADVENTIST HOSPITAL,"P.O.BOX NO. 24, OPP. CHOWPATI, ATHWALINES",,SURAT,,,,
METRO HOSPITAL AND RESEARCH INSTITUTE,"NEAR AMIT NAGAR CIRCLE, BESIDE KENDRIYA VIDHYALAYA, HARNI SAVLI ROAD",,VADODARA,,,,
MOTHER CARE HOSPITAL,"B/H NARMADA COMMERCIAL COMPLEX, PANCHBATTI",,BHARUCH,,,,
MOTHER HOOD WOMENS AND CHILD CARE HOSPITAL,"102, F.F, SARJAN ARCADE, BESIDE SATYAM COMPLEX, SCIENCE CITY ROAD, SOLA",,AHMEDABAD,,,,
MULJIBHAI PATEL UROLOGICAL HOSPITAL,"DR. VIRENDRA DESAI ROAD, NEAR KIDNEY HOSPITAL, NADIAD",,,,,,
N. M. VIRANI WOCKHARDT HOSPITAL,"KALAWAD ROAD, NEAR SAINT MARRY SCHOOL",,RAJKOT,,,,
NADKARNIS 21ST CENTURY HOSPITALS PVT LTD,"PLOT NO. CM-50, NATRAJ COMPLEX, OPP MAHAVIR NAGAR, N.H. NO-8, GUNJAN, GIDC, VAPI",,VALSAD,,,,
NAIK HOSPITAL,"KASAR FALIYA, OPP.GOVT. PRESS, KOTHI",,VADODARA,,,,
NARAYAN EYE HOSPITAL,"22-23, 1ST FLOOR, AMARDEEP COMPLEX, FALSHRUTI NAGAR",,BHARUCH,,,,
NARESH HOSPITAL,"24, SUVIDHA CENTRE, NEAR QMAIN BUS STOP, VEJALPUR",,AHMEDABAD,,,,
NAVJYOT EYE HOSPITAL,"NIDHI COMPLEX, OPP. MEHASANA SOCIETY, BHIMAJIPURA, NAVA WADAJ,",,AHMEDABAD,,,,
NAVKAR HOSPITAL,"NAVKAR COMPLEX, SHREYAS RAILWAY CROSSING",,AHMEDABAD,,,,
NAVNEET MEMORIAL HOSPITAL,"OPP. SARDAR PATEL SEVA SAMAJ HALL IN THE LANE, OPP. NAVRANGPURA TELEPHONR EXCHANGE",,AHMEDABAD,,,,
NAVRANG HOSPITAL,"NR. HDFCBANK, VIP ROAD, KARELIBAUG",,VADODARA,,,,
NETR-THE EYE CARE CLINIC,"VISION HOUSE, OPP KAMESHWAR SCHOOL, NEXT TO UDHAM SCHOOL, NR JODHPUR CROSS ROAD, SATELLITE.",,AHMEDABAD,,,,
NETRA RAKSHA HOSPITAL,"TRIMURTI COMPLEX, T.B. NAGAR ROAD, INDIAN COLONY, BAPUNAGAR",,AHMEDABAD,,,,
NETRADEEP EYE HOSPITAL PVT LTD,"DRISHTY KANAK ROAD, B/H BHUTKHANA",,RAJKOT,,,,
NETRAM CARE,"APM SHOPPING MALL, OPP. SUN-N-STEP CLUB, SATADHAR CHAR RASTA, SOLA ROAD",,AHMEDABAD,,,,
NEW TECH SURGICAL HOSPITAL,"2001, RIDDHI RESIDENCY, BESIDE JALARAM TEMPLE, L P SAVANI ROAD, ADAJAN",,SURAT,,,,
NIDHI HOSPITAL,"SHREEKUNJ STADIUM, COMMERCE ROAD, NAVRANGPURA",,AHMEDABAD,,,,
NISARG ORTHOPAEDIC AND MATERNITY HOSPITAL,"B-1, PANCHSHEEL, NEAR ZAVER MARG ,HARNI VARASIYA RING ROAD",,VADODARA,,,,
NOBLE NURSING HOME,"SURYA FLAT (A) TOWER, OPP SWAMINARAYAN NAGAR, NIZAMPURA",,VADODARA,,,,
NOVA PULSE IVF CLINIC AHMEDABAD PVT LTD,"108, SWASTIK SOCIETY, BEHIND ST. XAVIERS LADIES HOSTEL, NAVRANGPURA",,AHMEDABAD,,,,
P N DESAI EYE HOSPITAL,"4, L. K. SOCIETY, BEHIND SUNSET, RAW HOUSE, GURUKUL ROAD, MEMNAGAR",,AHMEDABAD,,,,
PAAVAN HOSPITAL,"SHUBHLAXMI COMPLEX, SUBHANPURA ROAD, SUBHANPURA",,VADODARA,,,,
PALAK EYE CLINIC,"3RD FLOOR, SURYARANI COMPLEX, AKHBAR NAGAR CIRCLE, 132 FEET RING ROAD, NAVA VADAJ",,AHMEDABAD,,,,
PANCHAL UROLOGY CENTRE,"DYNAMIC HOUSE, NEAR MEMNAGAR FIRE STATION, VIJAY CHAR RASTA, NAVRANGPURA",,AHMEDABAD,,,,
PANCHSHIL HOSPITAL,"HIGHWAY RAM NAGAR, SABARMATI, NEAR SABARMATI POLICE STATION",,AHMEDABAD,,,,
PARAM MULTISPECIALITY HOSPITAL,"A-307, SWAMINARAYAN SOC, PART 2, OPP. RENUKA BHAVAN, BOMBAY MARKET TO PUNAGAM ROAD",,SURAT,,,,
PARIMAL HOSPITAL,"PUNIT MARG, BEHIND CANARA BANK, NEAR OVER BRIDGE, MANINAGAR",,AHMEDABAD,,,,
PARTH HOSPITAL,"OPP. RAMJI MANDIR, RAMNAGAR, SABARMATI, AHMEDABAD.",,AHMEDABAD,,,,
PARTH MATERNITY AND MEDICAL NURSING HOME,"SHREE KRISHNA TOWER, NEAR CINE PRIDE THEATRE, KRISHNANAGAR",,AHMEDABAD,,,,
PATEL E.N.T. HOSPITAL,"103, ASHVARATH CENTRE, ASHRAM ROAD, OPP. FORTUNE HOTEL, USMANPURA",,AHMEDABAD,,,,
PESHANT HOUSE HOSPITAL,"KHAMASHA CHAKLA, JAMALPUR ROAD",,AHMEDABAD,,,,
POOJAN CHILDREN HOSPITAL AND NEONATAL CENTRE,"1ST FLOOR, VAIBHAV COMPLEX, NIRNAY NAGAR, UNDER BRIDGE, AHMEDABAD",,AHMEDABAD,,,,
PRATHANA SURGICAL AND MEDICAL HOSPITAL,"DUPLEX MARKET, NEAR JAIN TEMPLE, NAYAN NAGAR, KRISHNA NAGAR",,AHMEDABAD,,,,
PRAYOSHA HOSPITAL,"A 102-103, SHAGUN RESIDENCY, PUNAGAM",,SURAT,,,,
PRIYAL CLINIC,"SAHJANAND APARTMENT, 1ST FLOOR, OUT SIDE PANIGATE, NEAR AYURVEDIC COLLEGE, TIN RASTA",,VADODARA,,,,
PRIYDEEP EYE HOSPITAL PVT LTD,"RANGOLI COMPLEX, NEAR BIG BAZAR ST. ROAD",,BHARUCH,,,,
PURE HEALTH HOSPITAL AND MEDICAL CENTRE PVT. LTD,"PLOT NO. 156/157, SIMALIYA VILLAGE, PALEJ KAMBOLI ROAD.",,BHARUCH,,,,
PUROHIT HOSPITAL AND POLYCLINIC,"FF, SAHAJANAND COMPLEX, RING ROAD, BEHIND A.E.C., NARANPURA",,AHMEDABAD,,,,
PUSHPA CHILDRENS HOSPITAL AND CRITICAL CARE CENTRE,"302, VITTHAL MALL, NR. CHANDKHEDA ENGINEER COLLEGE, CHANDKHEDA",,AHMEDABAD,,,,
RACHNA MEDICAL NURSING HOME,"6, NANDANVAN SOCIETY OPP. ST WORKSHOP, HALOL",,GODHRA,,,,
RADHA HOSPITAL AND MATERNITY HOME,"239-40-41, BHAGO NAGAR, OPP HANS SOC, NR MATA WADI, L H ROAD VARACHHA,",,SURAT,,,,
RADHIKA HOSPITAL AND POLYCLINIC,"41, GANESH KRUPA SOCIETY, ICHCHHANATH ROAD",,SURAT,,,,
RAMKRISHNA PARAMHANSA HOSPITAL,AT AND POST KALALI,,VADODARA,,,,
RATHI HOSPITAL,"NEAR ANUPAM SHOPPING CENTYRE, JODHPUR CROSS ROAD, SATALLITE",,AHMEDABAD,,,,
RAVI SURGICAL HOSPITAL,"GOPAL TOWER, MANINAGAR, NEAR STATION ROAD",,AHMEDABAD,,,,
RESHAMBAI HOSPITAL,"SWASTIK COMPLEX, OPP. RAJASTHAN HOSPITAL, SHAHIBAUG",,AHMEDABAD,,,,
RHYTHM CARDIO PULMONARY CARE CENTRE,"1ST FLOOR, SHASHWAT COMPLEX, OPP. LADLI SAREES SHOWROOM, NARANPURA CROSS ROAD.",,AHMEDABAD,,,,
ROSE MAARRY WOMENS HOSPITAL,"29/30, MANSI COMPLEX-B, PREMCHAND NAGAR ROAD, VASTRAPUR",,AHMEDABAD,,,,
RUCHIR HOSPITAL,"AKSHAR BHAVAN, BEHIND S T STATION, MODASA.",,SABARKANTHA,,,,
RUSHABH MEDISURGE HOSPITAL PVT LTD,"218, 2ND FLOOR, SAHJANAND PALACE, OPP. RAHUL TOWER, 100FT. ANANDNAGAR ROAD, SATELLITE",,AHMEDABAD,,,,
SAHAJANAND EYE CARE HOSPITAL,"4TH FLOOR, DOLLY COMPLEX, NEAR STADIUM CROSS ROAD, NAVRANGPURA",,VADODARA,,,,
SAI KRISHNA HI-TECH HOSPITAL AND RESEARCH INSTITUTE,"RADHANPUR ROAD, NEAR PERFECT PLAZA, MEHSANA, SWAMINARAYAN MANDIR",,MEHSANA,,,,
SAI SHRADDHA MULTISPECIALITY HOSPITAL PVT LTD,"LABESHWAR COMPLEX, ZADESHWAR ROAD",,BHARUCH,,,,
SAL HOSPITAL AND MEDICAL INSTITUTE,"OPP DOORDARSHAN, DRIVE-IN ROAD, THALTEJ",,AHMEDABAD,,,,
SAMVED ORTHOPAEDIC HOSPITAL,"3RD FLOOR, SAMVED HOSPITAL, NR SOPAN FLATS, COMMERCE TO STADIUM ROAD, NAVRANGPURA",,AHMEDABAD,,,,
SANGHVI HOSPITAL PVT LTD,"SIDDHARTH COMPLEX, ANANDNAGAR BUS STAND, PALDI POST OFFICE, PALDI-BHATTHA",,AHMEDABAD,,,,
SANIDHYA EYE HOSPITAL,"301, 3RD FLOOR, NILKANTH PLAZA, ABOVE HONEST RESTAURANT, BHATHTHA CROSS ROADS, BHATHTHA-PALDI",,AHMEDABAD,,,,
SANJIVAN HEART AND MEDICAL HOSPITAL,"NR KALIMATA TEMPLE, RAMNAGAR CHOWK, SABARMATI",,AHMEDABAD,,,,
SANJIVANI EYE HOSPITAL AND PHACO CENTRE,"301, SOHAM COMPLEX, NAVRANG PURA, NR. C. P. CHAMBERS",,AHMEDABAD,,,,
SANJIVANI HOSPITAL,"2ND FLOOR, ANAND SHOPPING CENTRE, OPP ISANPUR BUS STOP, ISANPUR",,AHMEDABAD,,,,
SANJIVANI SUPER SPECIALITY HOSPITAL PVT. LTD.,"1, UDAY PARK SOCIETY, NR. SUNRISE PARK, VASTRAPUR, AHMEDABAD.",,AHMEDABAD,,,,
SANKET CHILDRENS SPECIALITY HOSPITAL PVT LTD,"B-04-05, 3RD FLOOR, SARDAR PATEL MALL-B, NEAR DIAMOND MILL, NIKOL GAM ROAD",,AHMEDABAD,,,,
AAROH HOSPITAL,"OPPOSITE JAIN HIGH SCHOOL, CIRCULAR ROAD",,REWARI,,,,
AASTHA EYE CENTRE,"5-R/5, N.I.T. , BEHIND NEELAM PETROL PUMP",,FARIDABAD,,,,
ADITYA NEURO AND SPINE SPECIALITY HOSPITAL,"CIRCULAR ROAD, NEAR KANOD GATE.",,REWARI,,,,
AGARWAL NURSING HOME,SALARPUR ROAD,,KURUKSHETRA,,,,
AHOOJA EYE AND DENTAL INSTITUTE,"560/1,DAYANAND COLONY ,NEW RAILWAY ROAD, OPP. BHIM NAGAR",,GURGAON,,,,
AKASH HOSPITAL,"RAJEEV COLONY, SEC-56, SAMAYPUR ROAD, SEC-56, BALLASGARH",,FARIDABAD,,,,
ALCHEMIST HOSPITALS LTD,SECTOR-21,,PANCHKULA,,,,
AMRITDHARA HOSPITAL PRIVATE LIMITED,CHAVRA BAZAR,,KARNAL,,,,
ANEJA HOSPITAL AND BHOGAL ORTHO CENTRE,"SIKKA COLONY, DELHI ROAD, OPP. HUDA COMMERCIAL CENTRE",,SONIPAT,,,,
APEX HOSPITAL AND TRUMA CENTRE,"PLOT NO 5, SECTOR 6, DHARUHERA, NEAR HEROHONDA",,REWARI,,,,
APURVA HOSPITAL,"2N/74, B.P, NIT",,FARIDABAD,,,,
ARTEMIS MEDICARE SERVICES LTD,SECTOR-51,,GURGAON,,,,
ARUNODAYA DESERET EYE HOSPITAL,"SECTOR-55, PLOT NO. NH-4",,GURGAON,,,,
ARYAN HOSPITAL PRIVATE LIMITED,"OLD RAILWAY ROAD, NEAR HARISH BAKERY, GURGAON",,GURGAON,,,,
ASIAN INSTITUTE OF MEDICAL SCIENCES,"SECTOR-21A, NEAR BADKAL FLYOVER ROAD",,FARIDABAD,,,,
ASTER EYE CARE,"5-E/8, B.P. RAILWAY ROAD, NEAR NEELAM CHOWK, NIT",,FATEHABAD,,,,
ATAM PRAKASH YADAV HOSPITAL,"NEAR NEW ANAJ MANDI, BHARWAS ROAD, COMPANY BAGH",,REWARI,,,,
AYUSHMAN HOSPITAL AND TRAUMA CENTRE,"37 K, HERO HONDA CHOWK, NH-8, DELHI JAIPUR HIGHWAY",,GURGAON,,,,
B.K. SHARMA HOSPITAL,"SK-10, INSIDE 5 NO, MAINMARKET NIT",,FARIDABAD,,,,
B.R. MEMORIAL HOSPITAL,"FCA-103, MUKESH COLONY, NEAR AKASH CINEMA, BALLABGARH",,FARIDABAD,,,,
BALLABGARH NURSING HOME,"64-65, MUKESH COLONY BALLABGARH, NEAR AKASH THEATER",,FARIDABAD,,,,
BHATIA ORTHOPAEDIC AND MATERNITY NURSING HOME,"390, SECTOR 7-B",,FARIDABAD,,,,
BRRIGHTON KAVITA HOSPITAL,"PLOT.NO.5, SECTOR -29, OPP.HUDA MARKET",,FARIDABAD,,,,
C K MEMORIAL KAPOOR HOSPITAL,"3B/8, B.P, N.I.T., DAV COLLEGE ROAD, NEAR CHIMNIBAI DHARAMSHALA",,FARIDABAD,,,,
C.M.C. HOSPITAL,"DELHI ROAD, NEAR RED BHAWAN",,HISAR,,,,
CARE HOSPITAL,"SEC-64, MAIN SHAHUPURA ROAD, BALLABGARG",,FARIDABAD,,,,
CAREWELL HOSPITAL,"8/SEC-29, OPP HUDA SHOPPING COMPLEX",,FARIDABAD,,,,
CENTRE FOR SIGHT,"AT. SUNFLAG HOSPITAL, SECTOR NO. 16-A",,FARIDABAD,,,,
CENTRE FOR SIGHT,"SCO COMPLEX - 317, SECTOR -29",,GURGAON,,,,
CENTRE FOR SIGHT,"PLOT NO. 399/1, NEW RAILWAY ROAD",,GURGAON,,,,
CHAKRAVARTY NURSING HOME,"NO. 207-208/ SECTOR-10, NEAR ISBT",,PANCHKULA,,,,
CHANDNA MEDICAL CENTRE,"52, 53 AND 85, SECTOR 18A, NEAR SABZI MANDI",,FARIDABAD,,,,
CHANNAN DEVI MEMORIAL HOSPITAL,"PLOT NO. 952-953, WARD NO.23, LAL CHAND COLONY MANDIR",,ROHTAK,,,,
CHIRAG HOSPITAL,"3236/31, MAIN BAJGHERA ROAD, NEAR RAILWAY STATION",,GURGAON,,,,
CITY SUPER SPECIALITY HOSPITAL,"NEAR MOHAN PETROL PUMP, GOHANA ROAD, SUKHPURA CHOWK",,ROHTAK,,,,
CYGNUS HOSPITAL,"SCO 72-75, NEAR BUS STAND, SECTOR-17",,KURUKSHETRA,,,,
CYGNUS J.K. HINDU HOSPITAL,"INDUSTRIAL AREA, ROHTAK ROAD",,SONIPAT,,,,
CYGNUS MAHARAJA AGGARSAIN HOSPITAL,OPP. DEVI MANDIR,,PANIPAT,,,,
D.N. HOSPITAL,"KHANNA ROAD, KRISHNA PURA",,PANIPAT,,,,
DAHIYA HOSPITAL,"NEAR ITI CHOWK, OLD DC ROAD",,SONIPAT,,,,
DEEP HOSPITAL,"CIRCULAR ROAD, OPPOSITE GOVT GIRLS SCHOOL",,REWARI,,,,
DELHI HOSPITAL AND MATERNITY HOME,1151 URBAN ESTATE,,JIND,,,,
DHIR HOSPITAL,MEHAM CHOWK,,BHIWANI,,,,
DR. JALES LIFE CARE HOSPITAL,2ND FLOOR LAND MARK COMPLEX,,ROHTAK,,,,
DR. K.C. SACHDEVA HOSPITAL,"SEC-12, MAIN G..T. KARNAL ROAD",,KARNAL,,,,
DR. NANDLAL SHARMA MEMORIAL HOSPITAL,"701, SECTOR- 8, YMCA ROAD, FARIDABAD,",,FARIDABAD,,,,
DR. R.B. YADAV HOSPITAL,JHAJJAR CHOWK,,REWARI,,,,
DR. S.P. YADAV HOSPITAL,"NEAR KANOD GATE, CIRCULAR ROAD",,REWARI,,,,
DR.M.L.GUPTA MEMORIAL CENTRE,"5E/4, B.P. RAILWAY ROAD, NIT",,FARIDABAD,,,,
DRISHTI EYE CENTRE,"20-21 F, FRUIT GARDEN NH-5, NEAR GREEN AUTOMOBILE FDB, NEELAM CHOWK",,FARIDABAD,,,,
DRISHTI EYE HOSPITAL,"S.C.O.-26, SECTOR-II, PANCHKULA",,PANCHKULA,,,,
EYE Q SUPER SPECIALITY EYE HOSPITAL,"4306, DLF PHASE - IV,BEHIND GALLERIA MARKET",,GURGAON,,,,
EYE Q SUPER SPECIALITY EYE HOSPITALS,"H.N.7-8, MODEL TOWN, NEAR BUS STAND",,FATEHABAD,,,,
EYE Q SUPER SPECIALITY EYE HOSPITALS,"GARHI BOLINJ CHOWK, CIRCULAR ROAD",,REWARI,,,,
EYE Q SUPER SPECIALITY EYE HOSPITALS,"MAKROLI HOUSE, SONIPAT ROAD",,ROHTAK,,,,
EYE Q SUPER SPECIALITY EYE HOSPITALS,NEAR SAPPIRE HOTEL,,YAMUNA NAGAR,,,,
GABA HOSPITAL,"BYE PASS ROAD, OPP PACHYAT BHAWAN",,YAMUNA NAGAR,,,,
GALAXY HOSPITAL AND TRAUMA CENTRE,"BAWAL INDUSTRIAL AREA, JALIAWAS, CITY- BAWAL",,REWARI,,,,
GANGA DEI MEMORIAL HOSPITAL,"LEO CHOWK, KOSHIWAR ROAD, KAMLA NAGAR",,REWARI,,,,
GANGA SAHAI MULTI SPECIALITY HOSPITAL,"HUDE BYE PASS ROAD, SEC-3, REWARI",,REWARI,,,,
GAUTAM HOSPITAL,"SCO-101, SECTOR-10A, MAIN HUDA SHOPPING COMPLEX, NEAR DAV SCHOOL",,GURGAON,,,,
GEETA HOSPITAL,"NEAR HUDA MARKET, SECTOR-28",,FARIDABAD,,,,
GOLD FIELD HOSPITAL AND RESEARCH CENTRE,"VILL. CHHAINSA, BALLABGARH",,FARIDABAD,,,,
GOLDEN HOSPITAL,SOHNA ROAD,,PALWAL,,,,
GOYAL HOSPITAL,"SECTOR- 8, OPP. HANUMAN TEMPLE",,FARIDABAD,,,,
GOYAL NURSING HOME,NEAR BUS STAND,,PALWAL,,,,
GULATI HOSPITAL,"164, SAROJINI COLONY, NEAR BUS STAND",,YAMUNA NAGAR,,,,
GUPTA NURSING HOME,"160, SECTOR-16A",,FARIDABAD,,,,
GURU NANAK HOSPITAL,"DELHI MATHURA ROAD, ON MAIN HIGHWAY",,PALWAL,,,,
HANDA MEDICAL AND RESEARCH CENTRE PVT LTD,"NURSING HOME SITE NO- 1, SECTOR- 16, OPP. SAGAR CINEMA",,FARIDABAD,,,,
HAPPY FAMILY MATERNITY AND CHILDREN HOSPITAL PVT LTD,"NURSING HOME SITE NO. 1, NEAR GH 34, MANSA DEVI COMPLEX, SECTOR-5",,PANCHKULA,,,,
HARYANA MULTISPECIALITY HOSPITAL,"VIVEKANAND CHOWK, BEHIND L.G. SHOWROOM, DELHI ROAD",,SONIPAT,,,,
INSTITUTE OF BRAIN AND SPINE,"SECTOR- 16A, SUNFLAG BASMENT",,FARIDABAD,,,,
INSTITUTE OF REPRODUCTION AND CHILD CARES,"SITE NO. 3, SECTOR-17",,PANCHKULA,,,,
IRENE COSMOS HOSPITAL,"PRAKASH VIHAR, NH-2, DELHI MATHURA ROAD",,PALWAL,,,,
J P SURGICAL HOSPITAL,"CIVIL HOSPITAL ROAD, OPP.GOVT. POLYTECHNIC, NEAR BARA THAKUR DWARA",,AMBALA,,,,
J.P.HOSPITAL,"NEAR LAXMI CINEMA, RAILWAY ROAD,",,YAMUNA NAGAR,,,,
JASPAL NURSING HOME,"69, MODAL TOWN, NEAR INCO FACTORY, AMBALA CITY",,AMBALA,,,,
JEEVAN NURSING HOME,"ROHTAK GATE CHOWK, DADRI ROAD, NEAR KHASSA HOSPITAL",,BHIWANI,,,,
K.K. HEALTH CARE CENTRE,"238, SECTOR-5, NEAR SHEETLA MATA MANDIR",,GURGAON,,,,
KALRA CHILD CARE CENTRE,"PLOT NO-1485, SECTOR-15, OPP BSNL OFFICE",,FARIDABAD,,,,
KALYANI HOSPITAL PVT LTD,"354/2 MEHRAULI ROAD, OPPOSITE GOVT COLLEGE NEAR SECTOR 14, GURGAON",,GURGAON,,,,
KAMLA HOSPITAL,"MAIN PATAUDI ROAD, NEAR RADHA SWAMI SATSANG BHAWAN",,GURGAON,,,,
KAPIL EYE HOSPITAL,"240 VIVEK VIHAR, OPP PWDF REST HOUSE, AMBALA CITY",,AMBALA,,,,
KARNAL MEDICAL CENTRE PVT LTD,"NO.6, NEAR COMMUNITY CENTRE, OPPOSITE MAIN MARKET, NEAR GURUDWARA, SECTOR-7",,KARNAL,,,,
KARTIK HOSPITAL,"VILL, ALIYAR, SEC-8, IMT MANESAR,",,GURGAON,,,,
KATHURIA HOSPITAL,"19/8, MODEL TOWN, KHANDSA ROAD, OPP S.D. SCHOOL",,GURGAON,,,,
KESAR HOSPITAL,"C-480, CHAWLA COLONY, NEAR G.T.ROAD, BALLABGARH",,FARIDABAD,,,,
KISHAN SINGH HOSPITAL LTD,"SHYAM COLONY, BYE PASS ROAD, HODAL",,PALWAL,,,,
KRISHNA NURSING HOME,"71, SECTOR -10 HBC, FARIDABAD.",,FARIDABAD,,,,
KRITI HOSPITAL,"PLOT NO 13, IN FRONT OF KENDRIYA VIHAR, SEC-56",,GURGAON,,,,
KURUKSHETRA NURSING HOME,PEPLI ROAD,,KURUKSHETRA,,,,
LALITA MEMORIAL HOSPITAL PVT LTD,"OPP HANUMAN MANDIR, BARA TALAB",,REWARI,,,,
LALL EYE CARE CENTRE,"365/4, OPP. MIAWALI COLONY, NEW RAILWAY ROAD, NEAR MODERN DIAGNOSTIC CENTRE, GURGAON",,GURGAON,,,,
LALL NURSING AND MATERNITY HOME,"365/4, OPPOSIT MIAWALI COLONY,NEAR MODERN DIAGNOSTIC CENTRE, NEW RAILWAY ROAD",,GURGAON,,,,
LEELAWATI HOSPITAL,"9, INDER NAGAR, NEAR ARYA CHOWK, POLICE LINE ROAD, AMBALA CITY",,AMBALA,,,,
LIFE CARE HOSPITAL,"SECTOR-5, HUDA MARKET, OPP BMG MALL, CIRCULAR ROAD",,REWARI,,,,
LIFEAID MEDICAL CENTRE,"PLOT NO: 1097 P, SECTOR 40,NEAR UNITECH CYBER PARK",,GURGAON,,,,
LOTUS HOSPITAL,"389/3, PREM NAGAR, MATA ROAD, NEAR MAIN BUS STAND",,GURGAON,,,,
M. GOEL HOSPITAL,"50-B, MANWALI COLONY, NEW RAILWAY ROAD",,GURGAON,,,,
M.K. DATTA HOSPITAL,"CROSS ROAD NO-1, AMBALA CANTT",,AMBALA,,,,
MAMTA HOSPITAL,"877/2, MATA ROAD, NEAR ROADWAYS WORKSHOP",,GURGAON,,,,
MANGLA HOSPITAL,"S.C.F. 2,3, NEAR BANK OF INDIA, SCHEME NO.6, GANDHI NAGAR",,JIND,,,,
MAYOM HOSPITAL,"D. BLOCK, SOUTH CITY-1, NEAR MOTHER DAIRY",,GURGAON,,,,
METRO HOSPITALS AND HEART INSTITUTE,"H-BLOCK, PALAMVIHAR",,GURGAON,,,,
METRO LIFE LINE HOSPITAL,"MAIN BAJGHERA CHOWK, NEW PALAM VIHAR",,GURGAON,,,,
MISSION HOSPITAL AND DIAGNOSTIC CENTRE,"NEAR ARMY CANTEEN, CIRCULAR ROAD",,REWARI,,,,
NATIONAL INSTITUTE OF MEDICAL SERVICES,"NIMS HOSPITAL, SECTOR 23A, NEAR MARKET",,FARIDABAD,,,,
NAV JEEVAN HOSPITAL,NIZAMPUR ROAD,,NARNAUL,,,,
NAVCHETNA HOSPITAL,"P4047-4048, SEC-23, MAIN ROAD, NIT",,FARIDABAD,,,,
NAWAL HOSPITAL,"TAYAL GARDEN, BARWALA ROAD, NEAR GUJRI MAHAL",,HISAR,,,,
NAYANJYOTI EYE AND LASER CENTRE,"1 F-94, NIT, NEAR KALYAN SINGH CHOWK",,FARIDABAD,,,,
NEELKANTH HOSPITALS PVT LTD,"MAIN M. G. ROAD, NEAR GURUDRONACHARYA METRO STATION, 1 NATHPUR ROAD, PHASE III DLF",,GURGAON,,,,
NEW JIWAN NURSING HOME AND MULTISPECIALITY HOSPITAL,"167/2, OLD SABJIMANDI, MILK PLANT ROAD",,FARIDABAD,,,,
OM SPERO HOSPITAL,"56 KM STONE, NH-2, DELHI MATHURA ROAD",,PALWAL,,,,
OM SURGICAL HOSPITAL,"ATELI ROAD, KANINA",,MOHINDER GARH,,,,
OXYGEN HOSPITAL,NEAR BHIWANI STAND,,ROHTAK,,,,
PALWAL HOSPITAL,"OLD G-7 ROAD, NEAR NEW SOHNL MOD, OPPOSITE IDBI BANK",,PALWAL,,,,
